Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be (D. Guha-Sapir),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2020-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Mon, 19 Oct 2020 03:55:24 CEST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
2004-0004-NIU,2004,0004,Natural,Meteorological,Storm,Tropical cyclone,,Heta,Declar,Niue,NIU,Polynesia,Oceania,Alofi area (Niue province),,,,,,,,300,Kph,,,,,2004,1,6,2004,1,6,1,2,200,500,702,,,40000,"73,8814124374"
2004-0067-NZL,2004,0067,Natural,Hydrological,Flood,Flash flood,,,Affected,New Zealand,NZL,Australia and New Zealand,Oceania,"Manawatu, Rangitikei, Tararua, Horowhenua, Ruapehu, Wanganui areas (Manawatu-Wanganui province), Wellington, Taranaki provinces",Unseasonable summer storms,,,,,Yes,,,Km2,,,,"Makino Stream, Rangitikei, Oroua, Manawatu, Mangaweka, Waitotara, Ruamahanga",2004,2,13,2004,2,25,2,,2500,,2500,,70000,200000,"73,8814124374"
2004-0610-PNG,2004,0610,Natural,Geophysical,Volcanic activity,Ash fall,,,Affected,Papua New Guinea,PNG,Melanesia,Oceania,Bogia district (Madang province),,,,,,,,,,,,,,2004,10,,2004,11,,,,9600,,9600,,,,"73,8814124374"
2004-0004-TON,2004,0004,Natural,Meteorological,Storm,Tropical cyclone,,Heta,Declar,Tonga,TON,Polynesia,Oceania,"Tafahi, Nuiatoputapu islands (Tonga province)",,,,,,,,,Kph,,,,,2004,1,6,2004,1,6,,,,,,,,,"73,8814124374"
2005-0144-NZL,2005,0144,Natural,Meteorological,Storm,Convective storm,Tornado,,Affected,New Zealand,NZL,Australia and New Zealand,Oceania,Greymouth town (Westland province),,,,,,,,,Kph,,,,,2005,3,10,2005,3,10,,,100,,100,,,10000,"76,3880272119"
2005-0102-TKL,2005,0102,Natural,Meteorological,Storm,Tropical cyclone,,Percy,Affected,Tokelau,TKL,Polynesia,Oceania,"Nukunonu, Atafu, Fakaofo islands (Tokelau province)",,,,,,,,249,Kph,,,,,2005,2,28,2005,2,28,,1,,25,26,,,,"76,3880272119"
2005-0151-WSM,2005,0151,Natural,Meteorological,Storm,Tropical cyclone,,Olaf,Affected,Samoa,WSM,Polynesia,Oceania,Samoa province,,,,,,,,190,Kph,,,,,2005,2,16,2005,2,16,9,,,,,,,,"76,3880272119"
2003-0224-MNP,2003,0224,Natural,Geophysical,Volcanic activity,Ash fall,,Mt Anatahan,Declar/Int,Northern Mariana Islands (the),MNP,Micronesia,Oceania,Anatahan island (Administrative unit not available province),,,,,,Yes,,,,,,,,2003,5,10,2003,5,10,,,,,,,,,"71,9550065545"
2004-0312-MNP,2004,0312,Natural,Meteorological,Storm,Tropical cyclone,,Tingting,Affected,Northern Mariana Islands (the),MNP,Micronesia,Oceania,Saipan island (Northern Mariana Islands province),,,,,,,,,Kph,,,,,2004,6,26,2004,6,27,3,,200,,200,,,,"73,8814124374"
2005-0523-AUS,2005,0523,Natural,Hydrological,Flood,Riverine flood,,,Affected,Australia,AUS,Australia and New Zealand,Oceania,"Coomera, Currumbin villages (Gold Coast district, Queensland province), Byron Bay area (Byron district, New South Wales province), Yamba area (Clarence Valley district, New South Wales province), Benora area (Tweed district, New South Wales province), Casino village (Richmond Valley district, New South Wales province), Kyogle, Lismore, Ballina districts (New South Wales province)",Heavy rains,Rain,,,,,,,Km2,,,,,2005,6,30,2005,7,3,3,,3000,,3000,,58000,58000,"76,3880272119"
2005-0577-FJI,2005,0577,Natural,Hydrological,Flood,Riverine flood,,,Unknown,Fiji,FJI,Melanesia,Oceania,"Northern, Eastern, Central, Western provinces",Heavy rains,Rain,,,,,,,Km2,,,,,2005,9,28,2005,9,28,,,,,,,,,"76,3880272119"
2005-0697-AUS,2005,0697,Natural,Meteorological,Storm,,,,Affected,Australia,AUS,Australia and New Zealand,Oceania,"Australian Capital Territory, Queensland, New South Wales, Victoria provinces",,,,,,,,,Kph,,,,,2005,12,2,2005,12,2,1,,600,,600,,,15000,"76,3880272119"
2006-0071-FJI,2006,0071,Natural,Hydrological,Flood,Riverine flood,,,Affected,Fiji,FJI,Melanesia,Oceania,Macuata district (Northern province),Heavy rain,"Slide (land, mud, snow, rock)",,,,,,2370,Km2,-16.45,179.65,,"Waiqele, Naseakula",2006,2,4,2006,2,9,4,,224,,224,,,500,"78,8522555129"
2006-0155-AUS,2006,0155,Natural,Meteorological,Storm,Tropical cyclone,,Glenda,SigDis,Australia,AUS,Australia and New Zealand,Oceania,"Exmouth, Ashburton, East Pilbara, Port Hedland, Roebourne districts (Western Australia province)",,Rain,,,,,,235,Kph,-25.68,115.13,,,2006,3,30,2006,4,5,,,500,,500,,,,"78,8522555129"
2006-0043-AUS,2006,0043,Natural,Meteorological,Storm,Tropical cyclone,,Clare,Affected,Australia,AUS,Australia and New Zealand,Oceania,"Wyndham-East Kimberley, Ashburton, East Pilbara, Port Hedland, Roebourne, Upper Gascoyne districts (Western Australia province)",,Flood,,,,,,,Kph,-23.26,116.94,,,2006,1,9,2006,1,31,,,1500,,1500,,,2354,"78,8522555129"
2006-0139-AUS,2006,0139,Natural,Meteorological,Storm,Tropical cyclone,,Larry,SigDis,Australia,AUS,Australia and New Zealand,Oceania,Cairns district (Queensland province),,Flood,,,,Yes,,290,Kph,-17.91,145.54,,,2006,3,20,2006,4,2,,30,,7000,7030,,335000,1180000,"78,8522555129"
2006-0073-FJI,2006,0073,Natural,Meteorological,Storm,Tropical cyclone,,Jim,Affected,Fiji,FJI,Melanesia,Oceania,"Lautoka, Ba towns (Ba district, Western province), Rakiraki town (Ra district, Western province)",,Flood,,,,,,,Kph,-17.82,177.68,,,2006,1,29,2006,2,6,,,168,,168,,,,"78,8522555129"
2006-0179-AUS,2006,0179,Natural,Hydrological,Flood,Riverine flood,,,Affected,Australia,AUS,Australia and New Zealand,Oceania,"Beswick village (Roper Gulf district, Northern Territory province), Katherine, Unincorporated NT districts, (Northern Territory province)",Monsoonal rain,,,,,Yes,,39370,Km2,-14.18,132.39,,"Katherine, Daly",2006,4,5,2006,4,10,,,1100,,1100,,,,"78,8522555129"
2006-0057-AUS,2006,0057,Natural,Climatological,Wildfire,Forest fire,,,Affected,Australia,AUS,Australia and New Zealand,Oceania,"Victoria, New South Wales, Tasmania provinces",,,,,,,,,Km2,,,,,2006,1,,2006,4,,3,,,81,81,,,50000,"78,8522555129"
2006-0666-AUS,2006,0666,Natural,Climatological,Wildfire,Forest fire,,,SigDis,Australia,AUS,Australia and New Zealand,Oceania,"Tasmania, Victoria, New South Wales provinces",,,,,,,,,Km2,,,,,2006,12,,2006,12,,1,,,60,60,,,50000,"78,8522555129"
2006-9554-AUS,2006,9554,Natural,Climatological,Drought,Drought,,,SigDis,Australia,AUS,Australia and New Zealand,Oceania,NO DATA: all country has been selected,,,,,,,,,Km2,,,,,2006,10,,2006,,,,,,,,,,,"78,8522555129"
2006-0660-AUS,2006,0660,Natural,Climatological,Wildfire,,,,Declar,Australia,AUS,Australia and New Zealand,Oceania,"Blue mountains district, New South Wales province",,,,,,Yes,,,Km2,,,,,2006,11,16,2006,11,16,,,,,,,,,"78,8522555129"
2007-0160-AUS,2007,0160,Natural,Hydrological,Flood,Flash flood,,,Kill,Australia,AUS,Australia and New Zealand,Oceania,"Gosford, Dungog, Newcastle, Wyong, Port Stephens, Maitland, Cessnock districts (New South Wales province)",Storms and heavy rains,"Slide (land, mud, snow, rock)",Rain,,,Yes,,11380,Km2,-32.87,151.38,,,2007,6,8,2007,6,12,9,,5000,,5000,,680000,1300000,"81,1016589317"
2007-0151-FJI,2007,0151,Natural,Meteorological,Storm,Tropical cyclone,,Cliff,SigDam,Fiji,FJI,Melanesia,Oceania,Lau district (Eastern province),,"Slide (land, mud, snow, rock)",,,,,,120,Kph,,,,,2007,4,5,2007,4,5,1,,,,,,,,"81,1016589317"
2007-0108-FJI,2007,0108,Natural,Hydrological,Flood,Riverine flood,,,Affected,Fiji,FJI,Melanesia,Oceania,"Central, Northern, Western provinces",Heavy rain,,,,,,,1690,Km2,-17.77,177.48,,"Qawa, Nadi",2007,2,3,2007,2,20,1,,900,,900,,,30000,"81,1016589317"
2005-0302-NZL,2005,0302,Natural,Hydrological,Flood,Flash flood,,,Affected,New Zealand,NZL,Australia and New Zealand,Oceania,"Otumoetai, Whakatane, Matata areas (Bay Of Plenty province)",,"Slide (land, mud, snow, rock)",,,,Yes,,630,Km2,,,,,2005,5,18,2005,5,21,,,,400,400,,43000,72000,"76,3880272119"
2005-0328-PNG,2005,0328,Natural,Geophysical,Earthquake,Ground movement,,,Affected,Papua New Guinea,PNG,Melanesia,Oceania,Lae district (Morobe province),,,,,,,,6,Richter,-6.319,146.846,,,2005,6,4,2005,6,4,1,,,200,200,,,,"76,3880272119"
2005-0308-PNG,2005,0308,Natural,Geophysical,Volcanic activity,Ash fall,,"Langila, Manam",Affected,Papua New Guinea,PNG,Melanesia,Oceania,"Aitavala, Masele, Kilenge, Ongaea, Potne, Sumel, Vem, Galegale, Tauale, Laut, Aimaga, Aipate, Gie villages (Gloucester district, West New Britain province)",,,,,,,,,,-4.08,145.037,,,2005,6,2,2005,6,10,,,15000,,15000,,,,"76,3880272119"
2005-0518-PNG,2005,0518,Natural,Hydrological,Flood,Riverine flood,,,SigDam,Papua New Guinea,PNG,Melanesia,Oceania,"Arawa, Buin district (Northern Solomons province)",Heavy rainsfalls,,,,,,,,Km2,,,,,2005,8,19,2005,8,19,1,,2493,,2493,,,,"76,3880272119"
2005-0664-VUT,2005,0664,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Ambae,Affected,Vanuatu,VUT,Melanesia,Oceania,Ambae island (Penama province),,,,,,Yes,,,,-16.507,168.346,,,2005,11,27,2005,11,27,,,5000,,5000,,,,"76,3880272119"
2006-0205-PNG,2006,0205,Natural,Hydrological,Flood,Riverine flood,,,Affected,Papua New Guinea,PNG,Melanesia,Oceania,Ambunti district (East Sepik province),Heavy rain,"Slide (land, mud, snow, rock)",,,,,,41560,Km2,-4.26,143.22,,"Sunuhu, Yumbanakor",2006,4,12,2006,4,18,,,400,,400,,,,"78,8522555129"
2006-0222-PNG,2006,0222,Natural,Hydrological,Landslide,Mudslide,,,Affected,Papua New Guinea,PNG,Melanesia,Oceania,"Kuma village (Mendi district, Southern Highlands province)",,"Slide (land, mud, snow, rock)",,,,,,4700,,-6.16,143.7,,,2006,4,27,2006,4,30,1,,300,,300,,,,"78,8522555129"
2006-0223-NZL,2006,0223,Natural,Hydrological,Flood,Flash flood,,,Kill,New Zealand,NZL,Australia and New Zealand,Oceania,"Mosgiel, Dunedin, Oamaru, Waitati, Taieri Plains areas (Otago province)",Brief torrential rain,,,,,,,4630,Km2,-45.69,170.37,,"Taieri, Silver, Stream, Leith",2006,4,26,2006,4,28,,,1200,,1200,,,3000,"78,8522555129"
2006-0540-PNG,2006,0540,Natural,Geophysical,Volcanic activity,Ash fall,,Tavurvur,Affected,Papua New Guinea,PNG,Melanesia,Oceania,"Kokopo, Rabaul districts (East New Britain province)",,,,,,,,,,,,08:45,,2006,10,7,2006,10,7,,,1221,,1221,,,,"78,8522555129"
2006-0715-PNG,2006,0715,Natural,Geophysical,Volcanic activity,Ash fall,,Karai,Affected,Papua New Guinea,PNG,Melanesia,Oceania,"Kaiamu, Malasi, Sulu, Silali villages (Bialla district, West New Britain province)",,,,,,,,,,,,,,2006,7,13,2006,7,13,,,2078,,2078,,,,"78,8522555129"
2006-0082-PNG,2006,0082,Natural,Hydrological,Flood,Riverine flood,,,Affected,Papua New Guinea,PNG,Melanesia,Oceania,"Babiko, Mou, Apanapi, Rapa, Mekeo, Inauabui, Veifa, Biotou, Kairuku areas (Kairuku district, Central province)",Heavy rains,,,,,,,34450,Km2,-9.07,147.28,,Kemp Welsh,2006,2,3,2006,2,19,1,,,12000,12000,,,,"78,8522555129"
2006-0059-PNG,2006,0059,Natural,Hydrological,Landslide,Landslide,,,Kill,Papua New Guinea,PNG,Melanesia,Oceania,"Kwasang 2 village (Mumeng district, Morobe province)",Torrential rain,,,,,,,,,,,,,2006,1,20,2006,4,18,14,,,10000,10000,,,,"78,8522555129"
2006-0281-VUT,2006,0281,Natural,Geophysical,Volcanic activity,Ash fall,,Lopevi,Declar,Vanuatu,VUT,Melanesia,Oceania,"Paama, Ambrym villages (Malampa province)",,,,,,,,,,-16.507,168.346,,,2006,5,9,2006,5,9,,,,,,,,,"78,8522555129"
2007-0133-NZL,2007,0133,Natural,Meteorological,Storm,Tropical cyclone,,Becky,Kill,New Zealand,NZL,Australia and New Zealand,Oceania,Bay of Islands area (Northland province),,Flood,"Slide (land, mud, snow, rock)",,,,,,Kph,-35.35,173.98,,,2007,3,29,2007,3,31,,,300,,300,,,,"81,1016589317"
2007-0127-SLB,2007,0127,Natural,Geophysical,Earthquake,Tsunami,,,Kill,Solomon Islands,SLB,Melanesia,Oceania,Administrative unit not available,Earthquake,"Slide (land, mud, snow, rock)",Tsunami/Tidal wave,Yes,,,5000,8,Richter,-8.466,157.043,07:40,,2007,4,1,2007,4,1,52,9,2375,,2384,,,,"81,1016589317"
2007-0591-AUS,2007,0591,Natural,Meteorological,Storm,Tropical cyclone,,George and Jacob,Affected,Australia,AUS,Australia and New Zealand,Oceania,"Darwin district (Northern Territory province), Ashburton, East Pilbara, Port Hedland, Roebourne districts (Western Australia province)",,Flood,,,,,,275,Kph,-13.67,131.92,,,2007,3,2,2007,3,16,2,,730,90,820,,,100000,"81,1016589317"
2008-0525-AUS,2008,0525,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Affected,Australia,AUS,Australia and New Zealand,Oceania,"Brisbane, Logan, Gold Coast, Sunshine Coast, Moreton Bay districts (Queensland province)",,Flood,Hail,,,Yes,,,Kph,-30.05,151.49,,,2008,11,15,2008,11,21,1,,12000,,12000,,380000,450000,"84,2152290928"
2008-0581-AUS,2008,0581,Natural,Hydrological,Flood,Riverine flood,,,Kill,Australia,AUS,Australia and New Zealand,Oceania,"Central Highlands, Isaac districts (Queensland province)",Heavy rain,Broken Dam/Burst bank,,,,,,105500,Km2,-21.56,147.03,,,2008,11,20,2008,11,23,4,,1200,,1200,,205000,275000,"84,2152290928"
2008-0014-AUS,2008,0014,Natural,Hydrological,Flood,Riverine flood,,,Affected,Australia,AUS,Australia and New Zealand,Oceania,"Brisbane, Southern Downs, Scenic Rim, Ipswich districts (Queensland province), Lismore, Richmond Valley, Kyogle, Tweed, Bellingen, Tenterfield, Ballina districts (New South Wales province)",Heavy rain,,,,,,,41560,Km2,-28.44,152.87,,"Logan, Albert, Condamine, Macintyre, Tweedn Richmond, Coomera, Wilson, Bellinger, Boonoo, Clarence",2008,1,3,2008,1,9,1,,3000,,3000,,,90000,"84,2152290928"
2008-0017-AUS,2008,0017,Natural,Hydrological,Flood,Riverine flood,,,Affected,Australia,AUS,Australia and New Zealand,Oceania,"Yamba area (Unincorporated NSW, New South Wales province), Proserpine, Airlie Beach, Bowen areas (Whitsunday district, Queensland province), Giru area (Burdekin district, Queensland province), Georgetown area (Etheridge district, Queensland province), Charleville area (Murweh district, Queensland province), Aramac, Muttaburra, Willow villages (Barcaldine district, Queensland province), Belyando, Clermont villages (Isaac district, Queensland province), Emerald, Sapphire villages (Central Highlands district, Queensland province), hargomindah village (Bulloo district, Queensland province), Mirani, Finch Hatton villages (Mackay district, Queensland province), Cunnamulla village (Paroo district, Queensland province), Townsville, Charters Towers, Longreach, Winton, Barcoo, Quilpie, Blackall Tambo districts (Queensland province)",Heavy rain,,,,,,,649500,Km2,-20.4,144.56,,"Flindersn Don, Proserpine, Burdekin, Haughton, Dawson, Diamantina, Thomson, Lower Flinders, Norman, Einasleigh, Einsleigh, Warrego, Landsborough, Barcoo",2008,1,14,2008,2,1,,,3200,,3200,,450000,600000,"84,2152290928"
2008-0098-AUS,2008,0098,Natural,Hydrological,Flood,Riverine flood,,,Affected,Australia,AUS,Australia and New Zealand,Oceania,"Gooseponds, Hospital Bridge, Glenella, the CBD areas (Mackay district, Queensland province), Calliope, Gladstone, Miriam Vale, Agnes Water, Seventeen Seventy towns (Gladstone district, Queensland province), Gogango, Rockhampton towns (Rockhampton district, Queensland province), Bundaberg city (Bundaberg district, Queensland province), Giru village (Burdekin district, Queensland province), Thuringowa area (Townsville district, Queensland province), Atherton, Tolga towns (Tablelands district, Queensland province), Edmonton area (Cairns district, Queensland province)",Heavy rains,,,,,,,44350,Km2,-22.46,149.54,,"Poineer, Burdekin, Fitzroy",2008,2,13,2008,2,26,2,,1000,,1000,,890000,1100000,"84,2152290928"
2009-0067-AUS,2009,0067,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Kill,Australia,AUS,Australia and New Zealand,Oceania,"Marysville, Kinglake, Taggerty cities (Murrindindi (S) district, Victoria province), Strathewen, St Andrews cities (Nillumbik (S) district, Victoria province), , Whittlesea city (Whittlesea district, Victoria province), Wandong city (Mitchell (S) district, Victoria province)",,Heat wave,,,,,,3100,Km2,,,,,2009,2,2,2009,2,14,180,500,9454,,9954,,770000,1300000,"83,9158074104"
2009-0230-AUS,2009,0230,Natural,Meteorological,Storm,Convective storm,Severe storm,,Declar,Australia,AUS,Australia and New Zealand,Oceania,"Queensland, New South Wales provinces",,Flood,,,,,,130,Kph,-29.05,152.73,,,2009,5,19,2009,5,28,1,,15000,,15000,,,60000,"83,9158074104"
2009-0048-AUS,2009,0048,Natural,Meteorological,Storm,Tropical cyclone,,"Tropical storm ""Dominic""",Affected,Australia,AUS,Australia and New Zealand,Oceania,Queensland province,,Flood,,,,Yes,,,Kph,-20.11,120.56,,,2009,1,26,2009,2,20,,,400,,400,,,,"83,9158074104"
2007-0592-FJI,2007,0592,Natural,Hydrological,Flood,Flash flood,,,SigDam,Fiji,FJI,Melanesia,Oceania,"Central, Northern, Western provinces",,,,,,,,,Km2,-17.77,177.48,,,2007,3,9,2007,3,12,5,,,,,,,7000,"81,1016589317"
2007-0655-FJI,2007,0655,Natural,Meteorological,Storm,Tropical cyclone,,Daman,Waiting,Fiji,FJI,Melanesia,Oceania,"Cikobia island (Lau district, Eastern province)",,,,,,,,250,Kph,,,,,2007,12,5,2007,12,7,,,69,,69,,,652,"81,1016589317"
2008-0051-FJI,2008,0051,Natural,Meteorological,Storm,Tropical cyclone,,"Cyclone ""Gene""",Waiting,Fiji,FJI,Melanesia,Oceania,"Central, Eastern, Northern, Western provinces",,Flood,,,,,,177,Kph,,,,,2008,1,28,2008,1,29,7,,,,,,,30000,"84,2152290928"
2008-0583-FSM,2008,0583,Natural,Hydrological,Flood,Coastal flood,,,Affected,Micronesia (Federated States of),FSM,Micronesia,Oceania,"Kosrae, Pohnpei islands",,,,,,Yes,,,Km2,,,,,2008,12,9,2008,12,9,,,,,,,,,"84,2152290928"
2008-0583-KIR,2008,0583,Natural,Hydrological,Flood,Coastal flood,,,Affected,Kiribati,KIR,Micronesia,Oceania,Marakei island,,,,,,,,,Km2,,,,,2008,12,9,2008,12,9,,,,85,85,,,,"84,2152290928"
2008-0583-MHL,2008,0583,Natural,Hydrological,Flood,Coastal flood,,,Affected,Marshall Islands (the),MHL,Micronesia,Oceania,"Majuro, Ebeye islands",,,,,,Yes,,,Km2,,,,,2008,12,10,2008,12,24,,,600,,600,,,,"84,2152290928"
2009-0013-FJI,2009,0013,Natural,Hydrological,Flood,Riverine flood,,,Kill,Fiji,FJI,Melanesia,Oceania,"North, Central, Western provinces",Heavy rains,Tsunami/Tidal wave,,Yes,,Yes,2485,348,Km2,-17.74,178.05,,,2009,1,8,2009,1,19,12,,10556,,10556,,,43247,"83,9158074104"
2009-0200-COK,2009,0200,Natural,Biological,Epidemic,Viral disease,,Dengue,Affected,Cook Islands (the),COK,Polynesia,Oceania,"Arorangi, Nikao/Tepuka, Avarua, Tupapa, Titikaveka, Ngatangiia, Matavera, Avatiu, Takuvaine, Tutakimoa",,,,,No,No,,,Vaccinated,,,,,2009,5,,2009,6,18,,,1247,,1247,,,,"83,9158074104"
2007-0557-PNG,2007,0557,Natural,Meteorological,Storm,Tropical cyclone,,Guba,Kill,Papua New Guinea,PNG,Melanesia,Oceania,"Rabaraba district (Milne Bay Province), Northern province",Tropical cyclone Cuba,Flood,,Yes,,Yes,1300,,Kph,-9.03,149.22,,,2007,11,12,2007,11,16,172,,162140,,162140,183000,,,"81,1016589317"
2008-0575-PNG,2008,0575,Natural,Hydrological,Flood,Coastal flood,,,Affected,Papua New Guinea,PNG,Melanesia,Oceania,"East Sepik, Madang, Manus, Milne Bay, Morobe, New Ireland, Northern Solomons, West Sepik provinces",Low depression,,,Yes,,Yes,150,,Km2,,,,,2008,12,8,2008,12,8,,,75300,,75300,,,,"84,2152290928"
2008-0583-PNG,2008,0583,Natural,Hydrological,Flood,Coastal flood,,,Affected,Papua New Guinea,PNG,Melanesia,Oceania,Northern Solomons province,,,,,,,,,Km2,,,,,2008,12,12,2008,12,12,,,,,,,,,"84,2152290928"
2008-0625-PNG,2008,0625,Natural,Geophysical,Mass movement (dry),,,Gold mine,Kill,Papua New Guinea,PNG,Melanesia,Oceania,"Kainantu gold mine site (Kainantu district, Eastern Highlands province)",,,,,,,,,,,,,,2008,1,6,2008,1,6,10,,,,,,,,"84,2152290928"
2008-0659-VUT,2008,0659,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Ambrym,Affected,Vanuatu,VUT,Melanesia,Oceania,Ambrym island (Malampa province),,,,,,,,,,,,,,2008,12,,2009,4,,,,9000,,9000,,,,"84,2152290928"
2009-0039-SLB,2009,0039,Natural,Hydrological,Flood,Riverine flood,,,Kill,Solomon Islands,SLB,Melanesia,Oceania,"Vatukakabo, Mataruka, Verasaba-Takaboru, Tababoru Sasa, Vatukalau, Takaburu, Vatusi, Talangia, Matoba, Barevo, Paru, Vanagobuli, Tina, Tanamao, Vura, Taluloki villages (Guadalcanal area), Malaita, Makira-Ulawa, Central areas",Heavy rain,"Slide (land, mud, snow, rock)",,Yes,Yes,Yes,276,118000,Km2,-8.14,-158.66,,,2009,1,29,2009,2,6,21,,7000,,7000,,,,"83,9158074104"
2009-0171-VUT,2009,0171,Natural,Hydrological,Flood,Riverine flood,,,Affected,Vanuatu,VUT,Melanesia,Oceania,"Linbul, Ranvetlam villages (Malampa province)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2009,4,15,2009,4,15,,,950,,950,,,,"83,9158074104"
2009-0420-ASM,2009,0420,Natural,Geophysical,Earthquake,Tsunami,,,Kill,American Samoa,ASM,Polynesia,Oceania,"Pago Pago, Tula villages",,Tsunami/Tidal wave,,,,,,8,Richter,-15.489,-172.095,,,2009,9,29,2009,9,29,34,,2500,,2500,,,,"83,9158074104"
2009-0554-FJI,2009,0554,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone Mick,Affected,Fiji,FJI,Melanesia,Oceania,"Central, Western provinces",,Flood,,,,,93,100,Kph,,,,,2009,12,14,2009,12,15,2,,3845,,3845,,,13300,"83,9158074104"
2009-0211-PNG,2009,0211,Natural,Hydrological,Landslide,Landslide,,,Kill,Papua New Guinea,PNG,Melanesia,Oceania,"Zongefifi village (Sialum area, Finschhafen district, Morobe province)",Heavy rain,,,,,,,,,,,,,2009,5,26,2009,5,26,19,,,,,,,,"83,9158074104"
2009-0589-AUS,2009,0589,Natural,Hydrological,Flood,Riverine flood,,,Affected,Australia,AUS,Australia and New Zealand,Oceania,New South Wales province,Tropical cyclone Laurence,,,,,Yes,,149300,Km2,-31.17,151.75,,Castlereagh,2009,12,25,2009,12,28,,,200,,200,,,,"83,9158074104"
2009-0615-AUS,2009,0615,Natural,Hydrological,Flood,Riverine flood,,,SigDam,Australia,AUS,Australia and New Zealand,Oceania,"Queensland, New South Wales provinces",Hevay rains and two cylones Ellie and Charlotte,,,,,,,,Km2,,,,,2009,1,13,2009,2,25,7,,9000,,9000,,12000,150000,"83,9158074104"
2009-0616-AUS,2009,0616,Natural,Meteorological,Extreme temperature,Heat wave,,,Kill,Australia,AUS,Australia and New Zealand,Oceania,"Victoria, New South wales (South), Tasmania (Northern) provinces",,,,,,,,49,°C,,,,,2009,1,27,2009,2,8,347,2000,,,2000,,,,"83,9158074104"
2010-0102-AUS,2010,0102,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Declar,Australia,AUS,Australia and New Zealand,Oceania,"Victoria, New South Wales, Tasmania provinces",,Hail,Flood,,,,,100,Kph,,,,,2010,3,6,2010,3,10,,,,,,,950000,1330000,"85,2920606019"
2010-0465-AUS,2010,0465,Natural,Hydrological,Flood,Riverine flood,,,Declar,Australia,AUS,Australia and New Zealand,Oceania,"Alpine, Ballarat, Banyule, Baw Baw, Darebin, East Gippsland, Greater Shepparton, Hepburn, Hume, Latrobe, Mansfield, Moonee Valley, Moreland, Nillumbik, South Gippsland, Strathbogie, Wangaratta, Wellington, Whittlesea districts (Victoria province)",Heavy rains,"Slide (land, mud, snow, rock)",,,,Yes,,7093,Km2,-38.07,143.32,,,2010,9,1,2010,9,15,,,10000,,10000,,,,"85,2920606019"
2010-0125-AUS,2010,0125,Natural,Meteorological,Storm,Convective storm,Severe storm,,Declar,Australia,AUS,Australia and New Zealand,Oceania,"Joondalup, Mandurah, Perth districts (Western Australia province)",,Hail,,,,Yes,,120,Kph,,,,,2010,3,22,2010,3,22,,,,,,,990000,1390000,"85,2920606019"
2010-0106-FJI,2010,0106,Natural,Meteorological,Storm,Tropical cyclone,,"Cyclone ""Tomas""",Declar,Fiji,FJI,Melanesia,Oceania,"Central, Easter, Northern, Western provinces",,Flood,,Yes,,Yes,,250,Kph,,,,,2010,3,14,2010,3,16,2,,39101,,39101,,,39427,"85,2920606019"
2010-0066-AUS,2010,0066,Natural,Hydrological,Flood,Riverine flood,,,Affected,Australia,AUS,Australia and New Zealand,Oceania,"Bega Valley, Eurobodalla, Bombala, Cooma-Monaro, Snowy River, Mid-Western Regional districts (New South Wales province)",Heavy rains,,,,,Yes,,311900,Km2,-32.42,149.59,,,2010,2,13,2010,2,16,,,,,,,,,"85,2920606019"
2010-0103-AUS,2010,0103,Natural,Hydrological,Flood,Riverine flood,,,Declar,Australia,AUS,Australia and New Zealand,Oceania,"Charleville town (Murweh district, Queensland province), Roma town (Maranoa district, Queensland province), Thallon, Bollon, Dirranbandi towns (Balonne district, Queensland province), Brisbane district (Queensland province),",Heavy rains,,,,,Yes,,431681,Km2,-26.21,147.95,,,2010,2,28,2010,3,17,,,,,,,48000,109000,"85,2920606019"
